interaction;name
DENND2D;APBB1IP
MCM6;SAP30
FPR3;APBB1IP
IL18;C1QB
SGO1;CDK1
STIL;CDK1
TNFSF14;APBB1IP
AIM2;TNFRSF9
DOCK10;APBB1IP
SKA2;CDK1
CORO1A;RGS1
SLC7A7;APBB1IP
PTTG1;FOXM1
ITGAL;SLC37A2
FAM78A;APBB1IP
GINS4;EZH2
KIF20A;CDK1
SLAMF7;TNFRSF18
CDC25A;RANBP1
ANLN;CLSPN
MYO1G;C1QB
TCF19;FOXM1
DEPDC1;CLSPN
CDCA4;CLSPN
CENPF;EZH2
UBASH3A;BCL11B
GALNT6;FOSL1
FPR3;TNFRSF9
CXCR6;TNFRSF18
CTSW;APBB1IP
INCENP;EZH2
UBE2C;FOXM1
PRR11;FOXM1
TUBB4B;CLSPN
UBE2C;EZH2
CD80;APBB1IP
SIT1;DOCK2
ZWILCH;RANBP1
CCRL2;C1QB
HTATIP2;ADORA2B
CD6;BCL11B
TRAT1;BCL11B
CCNF;CLSPN
HOXA11;CCSAP
TNFSF13B;TNFRSF18
UBE2QL1;ITGA9
OIP5;CDK1
SLA;SLC1A3
UBE2T;CLSPN
UBE2T;FOXM1
SIGLEC10;SLC1A3
NUF2;CKAP2
MKI67;EZH2
HMOX1;APBB1IP
LMNB1;RRM1
HROB;FOXM1
DENND2D;C1QB
IGSF6;APBB1IP
DOK2;DOCK2
POLA1;CLSPN
CKAP2L;RRM1
UBE2C;CDK1
CCL5;APBB1IP
TOP2A;CDK1
EVI2A;APBB1IP
WNT3;CDK1
P2RY10;DOCK2
IL7R;SLC37A2
SHCBP1;FOXM1
KYNU;SLC37A2
TFEC;APBB1IP
SLC31A2;SLC1A3
CALHM6;DOCK2
SIT1;BCL11B
LMNB1;CDK1
SKA1;CLSPN
RAD51AP1;CKAP2
CENPK;CDK1
CLSPN;EZH2
TROAP;FOXM1
ATAD2;EZH2
SLC1A3;DOCK2
KIFC1;CLSPN
DSN1;SAP30
HOPX;RRM1
NPL;APBB1IP
CDCA4;RRM1
CFAP20DC;C21orf58
TFEC;TNFRSF18
NEK2;CLSPN
TMPO-AS1;CDK1
ENO1;RANBP1
NFAM1;C1QB
