"interaction","name","selected","shared interaction","shared name"
"interacts with","SLAMF7 (interacts with) SDS","false","interacts with","SLAMF7 (interacts with) SDS"
"interacts with","SLAMF7 (interacts with) SLAMF8","false","interacts with","SLAMF7 (interacts with) SLAMF8"
"interacts with","SLAMF7 (interacts with) ZBP1","false","interacts with","SLAMF7 (interacts with) ZBP1"
"interacts with","SLAMF7 (interacts with) PCOLCE-AS1","false","interacts with","SLAMF7 (interacts with) PCOLCE-AS1"
"interacts with","SLAMF7 (interacts with) IL1R2","false","interacts with","SLAMF7 (interacts with) IL1R2"
"interacts with","SLAMF7 (interacts with) TFEC","false","interacts with","SLAMF7 (interacts with) TFEC"
"interacts with","SLAMF7 (interacts with) SERPINA1","false","interacts with","SLAMF7 (interacts with) SERPINA1"
"interacts with","SLAMF7 (interacts with) LIPM","false","interacts with","SLAMF7 (interacts with) LIPM"
"interacts with","SLAMF7 (interacts with) CRTAM","false","interacts with","SLAMF7 (interacts with) CRTAM"
"interacts with","SLAMF7 (interacts with) APOC1","false","interacts with","SLAMF7 (interacts with) APOC1"
"interacts with","SLAMF7 (interacts with) SIRPG","false","interacts with","SLAMF7 (interacts with) SIRPG"
"interacts with","SLAMF7 (interacts with) TYMP","false","interacts with","SLAMF7 (interacts with) TYMP"
"interacts with","SLAMF7 (interacts with) CD96","false","interacts with","SLAMF7 (interacts with) CD96"
"interacts with","SLAMF7 (interacts with) ICAM1","false","interacts with","SLAMF7 (interacts with) ICAM1"
"interacts with","SLAMF7 (interacts with) AIM2","false","interacts with","SLAMF7 (interacts with) AIM2"
"interacts with","SLAMF7 (interacts with) CD2","false","interacts with","SLAMF7 (interacts with) CD2"
"interacts with","SLAMF7 (interacts with) CD5","false","interacts with","SLAMF7 (interacts with) CD5"
"interacts with","SLAMF7 (interacts with) CD70","false","interacts with","SLAMF7 (interacts with) CD70"
"interacts with","SLAMF7 (interacts with) SIT1","false","interacts with","SLAMF7 (interacts with) SIT1"
"interacts with","SLAMF7 (interacts with) CXCR3","false","interacts with","SLAMF7 (interacts with) CXCR3"
"interacts with","SLAMF7 (interacts with) CD3D","false","interacts with","SLAMF7 (interacts with) CD3D"
"interacts with","SLAMF7 (interacts with) LINC01615","false","interacts with","SLAMF7 (interacts with) LINC01615"
"interacts with","UBASH3A (interacts with) PCOLCE-AS1","false","interacts with","UBASH3A (interacts with) PCOLCE-AS1"
"interacts with","UBASH3A (interacts with) TRAT1","false","interacts with","UBASH3A (interacts with) TRAT1"
"interacts with","UBASH3A (interacts with) LINC02195","false","interacts with","UBASH3A (interacts with) LINC02195"
"interacts with","PTPN22 (interacts with) PKD2L1","false","interacts with","PTPN22 (interacts with) PKD2L1"
"interacts with","PTPN22 (interacts with) TRAT1","false","interacts with","PTPN22 (interacts with) TRAT1"
"interacts with","PTPN22 (interacts with) LINC02195","false","interacts with","PTPN22 (interacts with) LINC02195"
"interacts with","PTPN22 (interacts with) LINC01943","false","interacts with","PTPN22 (interacts with) LINC01943"
"interacts with","PTPN22 (interacts with) PCOLCE-AS1","false","interacts with","PTPN22 (interacts with) PCOLCE-AS1"
"interacts with","PTPN22 (interacts with) BIRC3","false","interacts with","PTPN22 (interacts with) BIRC3"
"interacts with","PKD2L1 (interacts with) MARCO","false","interacts with","PKD2L1 (interacts with) MARCO"
"interacts with","PKD2L1 (interacts with) MIR147B","false","interacts with","PKD2L1 (interacts with) MIR147B"
"interacts with","PKD2L1 (interacts with) PELATON","false","interacts with","PKD2L1 (interacts with) PELATON"
"interacts with","PKD2L1 (interacts with) RGS1","false","interacts with","PKD2L1 (interacts with) RGS1"
"interacts with","PKD2L1 (interacts with) CD300LF","false","interacts with","PKD2L1 (interacts with) CD300LF"
"interacts with","PKD2L1 (interacts with) OSCAR","false","interacts with","PKD2L1 (interacts with) OSCAR"
"interacts with","PKD2L1 (interacts with) ZNF683","false","interacts with","PKD2L1 (interacts with) ZNF683"
"interacts with","PKD2L1 (interacts with) ITGAX","false","interacts with","PKD2L1 (interacts with) ITGAX"
"interacts with","PKD2L1 (interacts with) OTOAP1","false","interacts with","PKD2L1 (interacts with) OTOAP1"
"interacts with","PKD2L1 (interacts with) KCNN4","false","interacts with","PKD2L1 (interacts with) KCNN4"
"interacts with","PKD2L1 (interacts with) TMEM156","false","interacts with","PKD2L1 (interacts with) TMEM156"
"interacts with","PKD2L1 (interacts with) CCL18","false","interacts with","PKD2L1 (interacts with) CCL18"
"interacts with","PKD2L1 (interacts with) PTPRN","false","interacts with","PKD2L1 (interacts with) PTPRN"
"interacts with","PKD2L1 (interacts with) TFAP2A","false","interacts with","PKD2L1 (interacts with) TFAP2A"
