"interaction","name","selected","shared interaction","shared name"
"interacts with","LILRA5 (interacts with) KLHL6","false","interacts with","LILRA5 (interacts with) KLHL6"
"interacts with","LILRA5 (interacts with) HK3","false","interacts with","LILRA5 (interacts with) HK3"
"interacts with","LILRA5 (interacts with) PILRA","false","interacts with","LILRA5 (interacts with) PILRA"
"interacts with","LILRA5 (interacts with) CD86","false","interacts with","LILRA5 (interacts with) CD86"
"interacts with","LILRA5 (interacts with) S100A3","false","interacts with","LILRA5 (interacts with) S100A3"
"interacts with","LILRA5 (interacts with) LOC102724765","false","interacts with","LILRA5 (interacts with) LOC102724765"
"interacts with","LILRA5 (interacts with) ADTRP","false","interacts with","LILRA5 (interacts with) ADTRP"
"interacts with","LILRA5 (interacts with) KCNN4","false","interacts with","LILRA5 (interacts with) KCNN4"
"interacts with","LILRA5 (interacts with) FPR3","false","interacts with","LILRA5 (interacts with) FPR3"
"interacts with","LILRA5 (interacts with) CTSZ","false","interacts with","LILRA5 (interacts with) CTSZ"
"interacts with","LILRA5 (interacts with) CCR1","false","interacts with","LILRA5 (interacts with) CCR1"
"interacts with","LILRA5 (interacts with) PELATON","false","interacts with","LILRA5 (interacts with) PELATON"
"interacts with","LILRA5 (interacts with) ZKSCAN8P1","false","interacts with","LILRA5 (interacts with) ZKSCAN8P1"
"interacts with","LILRA5 (interacts with) LOC105375172","false","interacts with","LILRA5 (interacts with) LOC105375172"
"interacts with","LILRA5 (interacts with) SLAMF7","false","interacts with","LILRA5 (interacts with) SLAMF7"
"interacts with","LILRA5 (interacts with) UNC93B1","false","interacts with","LILRA5 (interacts with) UNC93B1"
"interacts with","LILRA5 (interacts with) LIPC","false","interacts with","LILRA5 (interacts with) LIPC"
"interacts with","LILRA5 (interacts with) IL18","false","interacts with","LILRA5 (interacts with) IL18"
"interacts with","LILRA5 (interacts with) PSTPIP1","false","interacts with","LILRA5 (interacts with) PSTPIP1"
"interacts with","LILRA5 (interacts with) EVI2A","false","interacts with","LILRA5 (interacts with) EVI2A"
"interacts with","LILRA5 (interacts with) KLHDC7B","false","interacts with","LILRA5 (interacts with) KLHDC7B"
"interacts with","LILRA5 (interacts with) CD48","false","interacts with","LILRA5 (interacts with) CD48"
"interacts with","LILRA5 (interacts with) CASP1","false","interacts with","LILRA5 (interacts with) CASP1"
"interacts with","LILRA5 (interacts with) CD68","false","interacts with","LILRA5 (interacts with) CD68"
"interacts with","LILRA5 (interacts with) CCR5","false","interacts with","LILRA5 (interacts with) CCR5"
"interacts with","LILRA5 (interacts with) LOC105375798","false","interacts with","LILRA5 (interacts with) LOC105375798"
"interacts with","LILRA5 (interacts with) RAC2","false","interacts with","LILRA5 (interacts with) RAC2"
"interacts with","LILRA5 (interacts with) C1QB","false","interacts with","LILRA5 (interacts with) C1QB"
"interacts with","LILRA5 (interacts with) TBC1D10C","false","interacts with","LILRA5 (interacts with) TBC1D10C"
"interacts with","LILRA5 (interacts with) CGAS","false","interacts with","LILRA5 (interacts with) CGAS"
"interacts with","LILRA5 (interacts with) LILRB4","false","interacts with","LILRA5 (interacts with) LILRB4"
"interacts with","LILRA5 (interacts with) DOCK2","false","interacts with","LILRA5 (interacts with) DOCK2"
"interacts with","LILRA5 (interacts with) MSR1","false","interacts with","LILRA5 (interacts with) MSR1"
"interacts with","LILRA5 (interacts with) SIGLEC8","false","interacts with","LILRA5 (interacts with) SIGLEC8"
"interacts with","LILRA5 (interacts with) IL2RG","false","interacts with","LILRA5 (interacts with) IL2RG"
"interacts with","LILRA5 (interacts with) CORO1A","false","interacts with","LILRA5 (interacts with) CORO1A"
"interacts with","LILRA5 (interacts with) SDS","false","interacts with","LILRA5 (interacts with) SDS"
